Key,Index,Status,Title,Daily,Introduction Dialogue,Requirements,Objectives,Rewards,Type,Giver
MSQ011,11,To Update,Kamigotchi World and You: That Eerie Feeling,No,"MENU: “The “Eerie” type comes into being when the normal state of things gets changed by something divine or supernatural.”
MENU: “To understand more about this, scavenge three items in rooms with the Eerie type.""",Complete MSQ010,Make a Scavenging roll in 3 rooms of the Eerie type,4x Agency Reputation,MAIN,MENU
MSQ012,12,To Update,Kamigotchi World and You: Insects in the Miasma,No,"MENU: “The Insect type might make your skin crawl, but it’s not always about seeing bugs.”
MENU: “It’s the kind of thing that makes you feel dirty inside and out.”
MENU: “If you want to understand what I mean, scavenge three items in rooms with the Insect type.”",Complete MSQ011,Make a Scavenging roll in 3 rooms of the Insect type,4x Agency Reputation,MAIN,MENU
MSQ013,13,To Update,Kamigotchi World and You: Tossed in the Scrap Heap,No,"MENU: “Like they say, one person’s trash is another person’s treasure!”
MENU: “I shouldn’t call it trash, though.”
MENU: “A Scrap Type isn’t defined as waste material that has been discarded, but as a small part of a greater whole.”
MENU: “Scavenge three items in rooms with the Scrap type and see what you find.”",Complete MSQ012,Make a Scavenging roll in 3 rooms of the Scrap type,"4x Agency Reputation,1x ""Neith’s River of Life"" Spell Card",MAIN,MENU
MSQ014,14,To Update,Identifying Materials: Wood,No,"MENU: “You probably picked up a Wooden Stick or two while out scavenging with your Kami.”
MENU: “Well, here’s a rumor: These trees are all branches of one huge tree, connected by the roots!”
MENU: “That’s why all the Wooden Sticks you’ll find are pretty much the same, no matter where you pick them up.”
MENU: “Is it true? I don’t know. I could analyze the wood’s structure in detail.”
MENU: “Collect 5 Wooden Sticks for me and I’ll look into it.”",Complete MSQ013,Give 5 Wooden Sticks,4x Agency Reputation,MAIN,MENU
MSQ015,15,To Update,Identifying Materials: Stone,No,"MENU: “Sometimes a rock isn’t just a rock. Sometimes it really “rocks”!”
MENU: “…”
MENU: “I’m sorry.”
MENU: “What I meant to say is: The structure of these rocks doesn’t always make geological sense.”
MENU: “It’s natural for them to be a little different. The Kamigotchi World doesn’t follow the same laws as the physical world.”
MENU: “But I want to know exactly how they differ. Collect 5 Rocks so I can run some tests.”",Complete MSQ014,Give 5 Stone,4x Agency Reputation,MAIN,MENU
MSQ016,16,To Update,Identifying Materials: Metal,No,"MENU: “I’d like to do some more work on myself.”
MENU: “Get me 5 pieces of Scrap Metal, please. Just like last time.”
MENU: “And keep your fingers crossed.”",Complete MSQ015,Give 5 Scrap Metal,4x Agency Reputation,MAIN,MENU
MSQ017,17,To Update,Exploring Other Options,No,"MENU: “I didn’t get what I wanted last time, but it’s better than I thought.”
MENU: “A cross-check of all available data led me to discover this world is much bigger than it seems.”
MENU: “I’ll collect data and look for hidden paths as you move around.”
MENU: “Once I know where they are, maybe I can help open them up.”",Complete MSQ016,Move 100 times,"2x Agency Reputation,1x ""Neith’s River of Life"" Spell Card",MAIN,MENU
MSQ018,18,To Update,Harvesting Data I,No,"MENU: “Please hike to the deepest part of the scrapyard and check it out for me.”
MENU: “I think something is buried behind all that scrap.”
MENU: “All that strange machinery piled up in one place…”
MENU: “It might be covering up something even more interesting.”
MENU: “Harvest for at least 12 hours in the Scrap Confluence so I can run an extended analysis.”
MENU: “If I find anything, I’ll let you know.”",Complete MSQ017,Harvest for >720 minutes in Scrap Confluence,"4x Agency Reputation,1x “Paeon’s Field of Flowers” Spell Card",MAIN,MENU
MSQ019,19,To Update,Harvesting Data II,No,"MENU: “If we want to find out how to get inside the Labs, we should look for clues.”
MENU: “Harvest for at least 12 hours at the Labs Entrance while I put my mind to this.”
MENU: “Even if we can’t brute force the doors open right away, I’m sure we can find out where the key is hiding.”
MENU: “If not, I guess we need another approach.”",Complete MSQ018,Harvest for >720 minutes at Labs Entrance,"4x Agency Reputation,2x “Paeon’s Field of Flowers” Spell Card",MAIN,MENU
MSQ020,20,To Update,Harvesting Data III,No,"MENU: “What if there’s something behind that waterfall?”
MENU: “Go to the Hollow Path and Harvest for at least 12 hours.”
MENU: “The Temple by the Waterfall doesn’t have a Node, so that’s the closest place you can set Kami down.”
MENU: “I’ll run my tests from there. We’ll find some answers soon.”",Complete MSQ019,Harvest for >720 minutes at the Hollow Path,"4x Agency Reputation,1x “Paeon’s Field of Flowers” Spell Card,1x “Melkarth’s Heroic Awakening” Spell Card",MAIN,MENU
MSQ021,21,To Update,Squaring the Circle I,No,"MENU: “The holes in my memory are frustrating.”
MENU: “I should know how to progress, but it’s like someone wanted me to forget.”
MENU: “Bear with me for a while, okay? I have one more thing to try.”
MENU: “A long, thorough, final search around the map, clockwise from the top.”
MENU: “We’ll find something.”
MENU: “Start at Scrap Trees and dig around. I’ll connect to your Kami and share what they learn.”","Complete MIN013,Complete MSQ020 & wait 1 day",Make 2 Scavenging rolls at Scrap Trees,"2x Agency Reputation,1x Booster Pack",MAIN,MENU
MSQ022,22,To Update,Squaring the Circle II,No,"MENU: “Continue moving clockwise around the map.”
MENU: “Next up, visit Centipedes and send your Kami out to scavenge.”
MENU: “Is there something in that hole? It seems dangerous there.”
MENU: “The insects really thrive in that part of the woods. More than most places.”",Complete MSQ021,Make 3 Scavenging Rolls at Centipedes,2x Agency Reputation,MAIN,MENU
MSQ023,23,To Update,Squaring the Circle III,No,"MENU: “We haven’t gotten answers yet, but we’ve made a little progress. 
MENU: “More information helps. More context helps.”
MENU: “Even if we don’t find something with a direct connection to the labs, I feel like we’re on the right track.”
MENU: “Next, visit the Blooming Tree and make scavenging rolls.”
MENU: “The weather here is always clear. It wasn’t lightning, so what blasted that tree apart?
MENU: “It probably won’t open any doors for us, but I’m still curious.”",Complete MSQ022,Make 3 Scavenging Rolls at Blooming Tree,2x Agency Reputation,MAIN,MENU
MSQ024,24,To Update,Squaring the Circle IV,No,"MENU: “Visit the Airplane Crash and scavenge around with your Kami.”
MENU: “I haven’t mentioned that plane until now, but that’s because I have no clue where it came from or what it’s doing here.
MENU: “I’m supposed to have pretty thorough data for this area!”
MENU: “It’s not a gap I feel an absence from, this thing is a genuine foreign body.”
MENU: “What’s the story? Who was on it? Where did they go? Could we follow them?”",Complete MSQ023,Make 3 Scavenging Rolls at Airplane Crash,2x Agency Reputation,MAIN,MENU
MSQ025,25,To Update,Squaring the Circle V,No,"MENU: “Visit the Clearing and do a little scavenging. Do your best to not disturb the cairn.”
MENU: “Mounds of stone like this are often meant as burial mounds, so who’s buried here? Is it someone I know, or another airplane passenger?”
MENU: “With every dead end we lose another lead and pile on more junk data.”
MENU: “Let’s hope this one has something useful.”",Complete MSQ024,Make 3 Scavenging Rolls at Clearing,4x Agency Reputation,MAIN,MENU
MSQ026,26,To Update,Squaring the Circle VI,No,"MENU: “Number 6. Go to the Labs Entrance one more time and make scavenging rolls.”
MENU: “Why is that building sealed so well?”
MENU: “That really bothers me. When we get the doors open, I’m going to have so many questions ready.”",Complete MSQ025,Make 9 Scavenging Rolls at Labs Entrance,"6x Agency Reputation,2x Booster Pack",MAIN,MENU
MSQ027,27,To Update,A Forgotten Friend,No,"MENU: “Let’s cut the boundary pushing. I remembered something.”
MENU: “Go to the Lost Skeleton and make scavenging rolls. Let’s give the place a thorough check.”
MENU: “That skeleton has a business laptop. That’s definitely an employee from the labs!”
MENU: “Something’s been making me overlook him until now, but I won’t miss anything this time.”",Complete MSQ026,Make 5 Scavenging Rolls at Lost Skeleton,"6x Agency Reputation,1x Booster Pack,""KW Maps"" Data Chip",MAIN,MENU
MSQ028,28,To Update,Deeper Understanding,No,"MENU: “Try the Scrap Confluence for something that might be able to read a data chip.”
MENU: “There’s so much tech there, some of it is bound to work.”
MENU: “Fingers crossed you find a laptop battery.”",Complete MSQ027,Make 2 Scavenging Rolls at Scrap Confluence,4x Agency Reputation,MAIN,MENU
MSQ029,29,To Update,Computer Blues,No,"MENU: “Try the Marketplace room for anything that might be able to read a data chip.”
MENU: “That’s the only working computer around here, I think.”
MENU: “Just go buy something and look for an SD card port while you’re doing it.”",Complete MSQ028,Use the machine to buy something in the Marketplace,2x Agency Reputation,MAIN,MENU
MSQ030,30,To Update,Humility,No,"MENU: “You know that strange woman here, near the entrance?”
MENU: “I’ve learned her name is Mina by following along with you. Go to her shop and ask her for help.”
MENU: “Mina is kind of scary. She’s also completely foreign to my databases, like that crashed jet. But Mina is alive.”
MENU: “And independent. And powerful!”
MENU: “She’s been giving you quests. I can read them too, you know.”
MENU: “That means she can take control over parts of my interface… It’s not nice.”
MENU: “On the other hand, this also makes it more likely that she can help.”
MENU: “What would be a nice welcoming gift for someone like that? Flowers?”
MENU: “No, I’ve got the perfect idea. When you visit on my behalf, just fold a big stack of $MUSU in the greeting card.”",Complete MSQ029,"Give 3000 $MUSU,Move to Convenience Store","4x Agency Reputation,2x Elders Loyalty",MAIN,MENU
MSQ031,31,To Deploy,Pyramid Power,No,"MENU: “With that item from Mina, you should be able to power up that laptop.”
MENU: ”So go do it! Fire that baby up!”
MENU: ”I want to see what’s on that chip!”","Complete MSQ030,Complete MIN015","Give Soulbound Pyramid Engine,Move to Lost Skeleton","6x Agency Reputation,Adds ""Files"" Menu to interface",MAIN,MENU
MSQ032,32,To Deploy,Safe Hex,No,"MINA: “That was a mean prank on my part, but I knew you could handle it.”
MINA: ”Water can be an effective barrier for spirits.”
MINA: ”I thought, strange thing that you are, that you might make it. Alas, no luck.”
MINA: ”Lucky for you, as a goddess of all that flows, I can help out with the waterfall.”
MINA: “This kind of thing might stay beyond your reach for a while, but I can simply do it for you.”
MINA: ”Collect the proper reagents for me and I will cast a charm that will let you walk under flowing water.”
MINA: ”It’ll practically last forever.”
MINA: ”We’ll start with something that has a sticky and water-resistant nature.”",Complete MIN016,Give 5000 Resin Tincture,"2x Agency Reputation,2x Elders Loyalty,1x Booster Pack",MAIN,MENU
MSQ033,33,To Deploy,Holier Than Thou,No,"MINA: “Next, some Holy Syrup.”
MINA: “The holy syrup will help form a barrier against the purifying effects of flowing water.”
MINA: “It also makes the potion spread more smoothly.”",Complete MSQ032,Give 1000 Holy Syrup,"2x Agency Reputation,2x Elders Loyalty",MAIN,MENU
MSQ034,34,To Deploy,Taking Great Pains,No,"MINA: “The third ingredient I’ll need is some Black Poppy Extract.”
MINA: “This one will be a bit of a struggle, but it’s a very important aspect of the hex.”
MINA: “I’ll explain why you need the extract after you get back with it.”",Complete MSQ033,Give 1000 Black Poppy Extract,"4x Agency Reputation,4x Elders Loyalty",MAIN,MENU
MSQ035,35,To Deploy,Steel Your Heart,No,"MINA: “Last, we’re going to need a large amount of Scrap Metal.”
MINA: “No, it’s not for a big container.”
MINA: “I’ll answer questions after you give me the materials.”
MINA: “Aren’t we supposed to be in a hurry?”",Complete MSQ034,Give 25x Scrap Metal,"4x Agency Reputation,4x Elders Loyalty,2x Booster Pack,Permanent Hex Buff ""Resist Falling Water""",MAIN,MENU
MSQ036,36,To Deploy,The Sanctuary Caves,No,"MINA: “’ll be scrying you while you explore. I’m not coming in myself, but I’ll be watching closely.”
MINA: “I can still send you messages through Menu when I need favors done.”
MENU: “Between you and me, Mina seems excited.” 
MENU: She doesn’t show it like I do, but when it comes to not knowing the whole story, she gets just as frustrated. 
MINA: “I just said I’d be scrying you. That means watching and listening.” 
MINA: “But yes. I’m hoping to get some of my own questions answered inside.”
MENU: “For me, it’s personal. I used to know things and someone took them away from me.”
MENU: “Not only do I want to restore my data on the caves, I wants to know who did this to me and why.”
MENU: ”Then you can have the Kami eat them, I guess.”",Complete MSQ035,"Use the object ""Waterfall"" in ""Temple by the Waterfall"" to enter a new zone","4x Agency Reputation,4x Elders Loyalty,1x Booster Pack",MAIN,MENU
MSQ037,37,To Deploy,Into the Depths,No,"MENU: “It looks like Mina’s trick worked. My database access just expanded to include the new zone.”
MENU:  “I still don’t have a complete picture, but the more you explore, the more I seem to remember.”
MENU: ”The key to unlocking the labs has to be back here somewhere, wherever here is.”
MENU: “We won’t know more until we collect more data, so you know what to do.”
MENU: “Get your kami harvesting and let's see what turns up.”
",Complete MSQ036,Harvest for >720 minutes at Techno Temple,4x Agency Reputation,MAIN,MENU
MSQ038,38,To Deploy,Feeling in the Dark,No,"MINA: “I was just thinking. At long last, I got you to take a shower.”
MINA: “...”
MENU: “...”
MINA: “...”
MENU: “Mina please.”
MINA: “Fine, fine, let me look around, be patient.”
MINA: “...”
MINA: “I can see where your headache came from.”
MINA: “Those magicians treated the sacred grounds of your distant forebears like free real estate.”
MENU: “I don’t know if we’re related.”
MINA: “In the unlikely chance that you do manage to open up the labs, I will have words for the scoundrels.”
MINA: “For now, let us investigate the depths of this desecration.”
MINA: “Operator, have your kami scavenge around and we’ll see what they have wrought.”",Complete MSQ037,Make 7 Scavenging Rolls at Temple Cave,"2x Agency Reputation,2x Elders Loyalty,1x Booster Pack",MAIN,MENU
MSQ039,39,To Deploy,Where It Stems From,No,"MENU: “The mushrooms found in these caves are somewhat different from those found on the surface.”
MENU: “I don't have much data on them, but try scavenging some with your kami anyway, maybe they'll be useful for something.""",Complete MSQ038,Scavenge 5 Dried Stems,2x Agency Reputation,MAIN,MENU
MSQ040,40,To Deploy,Better Than Chopping Wood?,No,"MENU: “Okay, you might not be able to trip off those little mushrooms, or eat them at all for that matter, but they’re still neat!”
MINA: “They’re hard and solid, like a dense wood.”
MINA: “Get a pile of stems and glue them together and you could make some lumber.”",Complete MSQ039,Craft 1 Lumber,"2x Agency Reputation,2x Elders Loyalty",MAIN,MENU
MSQ041,41,To Deploy,Throw Me a Bone!,No,"MENU: “There has to be a logical reason for this world to be like this.”
MENU: “Even if we’ve gotta tear out all our existing notions of reality and start from scratch, there still have to be answers and we can find them.”
MENU: “A scientist wouldn't just give up on understanding the world because it threw them a curveball like pipes fossilized in Jurassic bedrock.”
MENU: “There are always answers and the scientific method can lead us to them.”
MENU: “Keep scavenging around inside the caves with your Kami, we need more data.”
MENU: “We’ve got to observe the environment so that we can orient ourselves to it.
MENU: “So get out there and do some observing!”",Complete MSQ040,Scavenge 5 Bone Chunks,"2x Agency Reputation,1x Booster Pack",MAIN,MENU
MSQ042,42,To Deploy,Learning From a Master,No,"MINA: “I suppose I can spare some information for you.”
MINA: “See the walls of this room? The large blocks of stone are smooth cut and fit together like the pieces of a puzzle.”
MINA: “It appears almost natural, but shows the great skill of the master craftsman.”
MINA: “You should have all the ingredients you need to practice.”
MINA: “Just grind up a bone chunk to make mortar and use it to fit your stones and bones together”
MINA: “It's a bit old fashioned, but it’s strong and long lasting.”",Complete MSQ041,Craft 1 Ashlar,4x Elders Loyalty,MAIN,MENU
MIN001,2001,To Update,Grand Opening,No,"MINA: Hello, whoever you are. Is this how you receive your letters? Functional, though inelegant.

MINA: Are you hungry? Tired? $MUSU burning a hole in your pocket? Bring your wallet to the Tunnel of Trees and knock on the blue door. I sell treats for you and your Kami. If you need Stamina to keep moving, if your pets have gotten low on Health, or even if the poor things have fallen apart and need a Revive, my shop is open.",Complete MSQ007,Enter Mina's Shop,2x Elders Loyalty,SHOP,MINA
MIN002,2002,To Update,Customer Loyalty Program,No,"MINA: I want you to be a repeat customer. If you trade enough $MUSU with me, I’ll give you something special. I don’t care how you get it. Bring me more and I’ll be happy.",Complete MIN001,Spend 1000 $MUSU at Mina’s Shop,"4x Elders Loyalty,1x ""Neith’s River of Life"" Spell Card",SHOP,MINA
MIN003,2003,To Update,Early Market Research - I,No,"MINA: Relics and mementos from the past are brought into this world with $MUSU. People grow attached to many things; the first coin they earned, a trowel used to plant food that fed their family, a transforming robot toy that made other children jealous. Those feelings linger.

MINA: Get me five pieces of Scrap Metal. I want to perform psychometry.",Complete MIN002,Give 5 Scrap Metal,"2x Elders Loyalty,1x “Cultivation II” Spell Card",SHOP,MINA
MIN004,2004,To Update,Early Market Research - II,No,"MINA: Deep in the forest, there is a mound built over some ancient, stagnant defilement. The crawling insects thrive and grow more violent in filthy places like that. Whatever happened in the past to corrupt that place, those feelings linger.

MINA: Go harvest at the Insect Node until you get a feel for it.",Complete MIN003,Harvest for >720 minutes in Forest: Insect Node,"2x Elders Loyalty,2 “Cultivation I” Spell Card",SHOP,MINA
MIN005,2005,To Update,Early Market Research - III,No,"MINA: The graves across this landscape are quite old and buried under heaps of garbage, yet their $MUSU has no scent of defilement. A strange phenomenon. Are they buried saints? Were they interred as some kind of builder’s rite for a stronger spiritual foundation? I suppose this is a mystery for later.

MINA: Go get a sense of what I mean. Harvest at the graves until you understand.",Complete MIN004,Harvest for >720 minutes on Trash-Strewn Graves,"4x Elders Loyalty,2x “Neith’s River of Life” Spell Card",SHOP,MINA
MIN006,2006,To Update,Community Outreach,No,"MINA: With all this garbage everywhere, I expected to see more humans. One was laying by the edge of the forest earlier, you know. It looked young, at least compared to the dusty old bodies in the local graves.

MINA: Go harvest $MUSU from its location. Maybe it will start to feel chatty.",Complete MIN005,Harvest for >720 minutes at the Lost Skeleton During Moonside,"2x Elders Loyalty,1x “Cultivation II” Spell Card",SHOP,MINA
MIN007,2007,To Update,Restocking,No,"MINA: I've had so many new customers these days. Help me restock my spiritual goods. The flowers of death can be made into delicious treats for Kami and other beings. Collect a few and give them to me. 

MINA: Raw materials can be broken down into ingredients for hexerei. One can craft potions, poultices, and other things if one knows the methods. I’m selling something in my shop to help you along with this: a device to break down ingredients for yourself. I won’t be doing it for you again.",Complete MIN006,"Give 5 Plastic Bottle,Give 5 Pine Cone","2x Elders Loyalty,2x “Cultivation III” Spell Card",SHOP,MINA
MIN008,2008,To Update,Offering an Apprenticeship,No,"MINA: Some may view a scavenging Kami like a magpie on the hunt for treasure. The truth is the other way around; objects of sentiment are naturally drawn to the Kami. Wealth accumulates without desire, and the Kami tend to rest on their hoards like little dragons. As a companion of the Kami, you can share in these treasures and put them to better use. 

MINA: For example, you could practice alchemy, or the ancient art of Hexerei. With the right tools and a proper education, you can craft scavenged items into potions and spells. Through Hexerei you might improve your accumulation of $MUSU, which would of course allow you to give more of it to me.

MINA: For now, scavenge some basic raw materials. I’ve provided a list.",Complete MIN003,"Scavenge 1 Pine Cone,Scavenge 1 Daffodil,Scavenge 1 Sanguine Shroom,Scavenge 2 Plastic Bottles",2x Elders Loyalty,SHOP,MINA
MIN009,2009,To Update,Basics of Hex - Extracts,No,"MINA: Before crafting a hex, one must break down the raw materials so that they can be measured and mixed. I won’t do this for you. Have some self-respect. 

MINA: But oh! What luck! I’ve stocked my shop with Spice Grinders, and they’re just the tool you need. You might be a model student who already bought one of these. If so, you get a pat on the head. If not, you won’t get much further without it, so fork over the dough, kid.

MINA: Once you own a Spice Grinder, use it to extract some Pine Pollen from a Pine Cone. If you followed my instructions, you should already have a Pine Cone in your inventory. ",Complete MIN008,Craft 500 Pine Pollen,4x Elders Loyalty,SHOP,MINA
MIN010,2010,To Update,Basics of Hex - Potions,No,"MINA: Once you have your materials refined and measured, it’s time to sit down at the cauldron and brew a hex. But maybe you don’t want to be tied down? How can a husk like me brew potions while keeping up with a jet-set lifestyle, you might ask? Just use a Portable Burner to brew on the go. Everyone’s got one. If you don’t, I’m selling them for a reasonable price. 

MINA: Once you’ve acquired both a Spice Grinder and a Portable Burner, you’ll be ready to craft a variety of basic hexerei. There are some recipes that will require different tools, but I’ll cover that if you manage to make it to advanced lessons. For now, I need to know if you’re even capable of brewing a simple potion. 

MINA: Potions let your Kami accomplish great feats; they’ll be able to harvest more efficiently, get a jump on enemies or escape their clutches, attack with more passion, or more. One of the purest feats is to grow and learn, and so one of the simplest potions is a hex to boost skill growth. Craft an XP Potion by combining Pine Pollen and a Plastic Bottle.",Complete MIN009,Craft 1 XP Potion,4x Elders Loyalty,SHOP,MINA
MIN011,2011,To Update,Hex Education,No,"MINA: Now that you’re equipped and accomplished, try something slightly more delicate. Grind the Daffodil that I had you collect earlier, then take a small quantity and brew it with care.

MINA: This is a simple task, so be quick about it and get back to me. ","Complete MIN007,Complete MIN010",Craft 1 Bless Potion,2x Elders Loyalty,SHOP,MINA
MIN012,2012,To Update,Eye of the White Snake,No,"MINA: Have I introduced you to my pet? His name is Ahi. It’s a nickname of someone I knew long, long ago. He’s a perfect sweetheart and very obedient, nothing like the original. That one was quite the attention-getter. For a time I was fascinated and could think of no one else. Eventually, like with most things, I got bored and moved on. He didn’t want to let go so easily and put up quite a fight.

MINA: Deep inside the forest is a splayed oak, its innards ripe with a crystalline growth. The color reminds me of his eyes. Get me a crystal from the trunk as a memento. ",Complete MIN011,Give 1 Red Amber Crystal,6x Elders Loyalty,SHOP,MINA
MIN013,2013,To Update,Memorial for the Forgotten,No,"MINA: The state of this graveyard is an insult to those buried here. To have graves in a place like this means something. Somewhere very special has become a dumping ground for all sorts of disorganized trash, but there seems to be no changing it now. 

MINA: Reminiscing about that lost friend has gotten me sentimental. He’s not one of the dead here, of course, even I’m not familiar with the origins of this world. Still, they deserve something. There’s far too much trash to pick up, but let’s lay down something beautiful for a change.",Complete MIN012,"Move to the Trash-Strewn Graves,Give 15 Daffodil",4x Elders Loyalty,SHOP,MINA
MIN014,2014,To Update,To Whom It May Concern,No,"MINA: It appears there’s more to this Menu being than I first thought. She’s intimately tied to this place, a sort of genius loci, that is not a god or a person, but some form of protective entity that exists within the spiritual fabric of the location. As much as I and my shop are connected, she is with the Kamigotchi World.

MINA: A rare error on my part. As soon as possible, I’ll send over an apology letter. I just need you to help me find the necessary materials.","Complete MIN013,Complete MSQ030","Give 2 Wooden Sticks,Give 125 Sanguineous Powder,Give 125 Resin Tincture",4x Elders Loyalty,SHOP,MINA
MIN015,2015,To Update,A Matter of Import,No,"MINA: Menu tells me she wants something out of the machine by the lost skeleton. I might be able to conjure a device that will help. The power of electricity is rare, but not unknown to those from my time. 

MINA: I’ll need 9999 MUSU to cover the import. You’re getting a great deal, the lowest price I can possibly get. 

MINA: P.S. She’s told me that I don’t need to sign my messages. Is that true? Are you able to discern who offered you this quest without a signature?",Complete MIN014,Give 9999 $MUSU,"4x Elders Loyalty,1x Pyramid Engine (Soulbound)",SHOP,MINA
SQ001,3001,To Update,Rejecting Fate,No,"MENU: All Kamigotchi can succeed, from the Commons to the Epics. When raising a Kami, take advantage of their strengths. Build on the foundation of their initial stats. Choose skills that boost what your Kami is already best at before shoring up weaknesses.

MENU: If you would prefer to raise a different Kami entirely, the option is available. It might be the case that you love robots and want a team of Scrap Kami. Maybe you’re a dark, edgy person, so you want Kami that are inclined to maximum violence. It could even be that you’re searching for one of the rumored Legendary Kami.

MENU: If you have $ONYX, you can use the Vending Machine in the scrapyard to Reroll a Kamigotchi. After you purchase a Reroll Ticket, you can use it to return one Kami to the pool. In exchange, a new Kami will emerge to join you. ",Complete MSQ003,Reroll one Kamigotchi,2x Agency Reputation,SIDE,MENU
