loadbearing,Status,Index,Name,Exits,Description,Z,Y,X,Exit Refs
,In Game,54,Plane Interior,52,The air inside this airplane is…. sterile. Something’s wrong here.,2,5,8,Airplane Crash (https://www.notion.so/Airplane-Crash-1b90220c388481729683d058a0f1010e?pvs=21)
,In Game,55,"Shady Path ",,The path runs along the edge of the forest for a little while. It’s quiet here.,1,3,4,
,In Game,56,Butterfly Forest,,The forest here grows thicker once more. The blue butterflies seem particularly common in this place.,1,3,5,
,In Game,57,River Crossing,,"This seems like a natural spot to try to cross the river… and indeed, there was once a bridge…",1,3,6,
,In Game,58,Mouth of Scrap,,,1,5,1,
,In Game,59,Black Pool,,,1,4,1,
,In Game,60,Scrap Trees,,"A clearing on the border between the forest and scrapyard. You see a shovel and a notebook lying on the grass, each bisected down the middle. The cuts are perfectly clean.",1,1,5,
,In Game,61,Musty Forest Path,,Dead stumps and knotted trees tell you the forest here is in declining health. Giant centipedes march back and forth; a living trail that leads deeper into the woods.,1,1,7,
,In Game,62,Centipedes,,A dark hollow beneath a dying tree choked with polypore fungi. Mushrooms coat every tree in this part of the forest. The centipedes seem to like this place.,1,1,8,
,In Game,63,Deeper Forest Path,,A stretch of forest road with light canopy and open sky. Wildflowers grow just off the path.,1,2,6,
,In Game,64,Burning Room,65,"In the center of the hut, a large cauldron bubbles over a low fire. Dried flowers and herbs hang overhead, and jars with suspicious labels sit on a shelf in the back.

Someone was just here brewing something, but the hut is empty for now.",2,5,5,Forest Hut  (https://www.notion.so/Forest-Hut-1b90220c3884819dbd53d32278847632?pvs=21)
,In Game,65,"Forest Hut ",64,Smoke rises from a small reed hut that sits tucked behind boulders in a secluded part of the forest. The door is open.,1,1,6,Burning Room (https://www.notion.so/Burning-Room-1b90220c3884811fa777e0ca36a0d5e1?pvs=21)
,In Game,66,Marketplace,,"A strange machine adorned with Asphodel flowers sits here, deep in the forest. What could it be for? ",1,2,2,
"After Co-Op Completion: The tunnel is clear and the roof is stable. The blockade seems to have been deliberate. The air is humid and salty. A light breeze blows.  ",In Game,67,Boulder Tunnel,"18,68","The air is humid and salty. Stalagmites and stalactites crust over ancient stone construction. The tunnel ahead is blocked by what seems to be a roof collapse.  
",3,6,4,"Cave Crossroads (https://www.notion.so/Cave-Crossroads-1b90220c38848107b037fbaca1c817dc?pvs=21), Slippery Pit (https://www.notion.so/Slippery-Pit-1fa0220c3884803fac35d2cfdc18c284?pvs=21)"
,In Game,68,Slippery Pit,"67,75,69",These ladders prove you’re not the first to explore this cave. ,3,6,3,"Boulder Tunnel (https://www.notion.so/Boulder-Tunnel-1fa0220c388480fc8994d34833d1beb5?pvs=21), Flood Mural (https://www.notion.so/Flood-Mural-1fa0220c3884804fa583d42eb6c0aaed?pvs=21), Lotus Pool (https://www.notion.so/Lotus-Pool-1fa0220c388480538393ffd1b61ba755?pvs=21)"
,In Game,69,Lotus Pool,"68,70",Unsteady lights glimmer just outside your vision like will-o’-the-wisps. You can see a cluster of small craters filled with water. A colorful lotus flower grows in the largest pool. ,3,7,3,"Slippery Pit (https://www.notion.so/Slippery-Pit-1fa0220c3884803fac35d2cfdc18c284?pvs=21), Still Stream (https://www.notion.so/Still-Stream-1fa0220c38848070b0d7f86d6e29e2bd?pvs=21)"
,In Game,70,Still Stream,"69,71",An arcing tunnel filled with still and shallow water. The air is salty and has a faint taste of metal.,3,7,2,"Lotus Pool (https://www.notion.so/Lotus-Pool-1fa0220c388480538393ffd1b61ba755?pvs=21), Shabby Deck (https://www.notion.so/Shabby-Deck-1fa0220c3884808787a0eaa68a2ee3b0?pvs=21)"
,In Game,71,Shabby Deck,"70,72","An observation deck above a pool of still water. Albino centipedes scurry away from a pile of bones as you enter. A grappling hook has been attached to the deck through a broken window. ",3,7,1,"Still Stream (https://www.notion.so/Still-Stream-1fa0220c38848070b0d7f86d6e29e2bd?pvs=21), Hatch to Nowhere (https://www.notion.so/Hatch-to-Nowhere-1fa0220c388480c8ac7ef72d5d701d1d?pvs=21)"
,In Game,72,Hatch to Nowhere,"71,73,88","This facility seems ransacked as well as timeworn. A reinforced door is ajar, a tunnel up into the room above is broken, machinery has wires ripped out, a sticky ooze seeps from the vents, and spiderwebs fill the corners. The red light in the ceiling is dead, but it would flash a warning if there were any power.",3,6,1,"Shabby Deck (https://www.notion.so/Shabby-Deck-1fa0220c3884808787a0eaa68a2ee3b0?pvs=21), Broken Tube (https://www.notion.so/Broken-Tube-1fa0220c388480288f1fdb24b0f3f785?pvs=21), Treasure Hoard (https://www.notion.so/Treasure-Hoard-2580220c38848037a292cf6e463af10b?pvs=21)"
,In Game,73,Broken Tube,"72,74",Some kind of observation and testing environment. Readings indicate everything in this facility is ancient; even older than the graveyard under the scrap. Must be a bug.,3,5,1,"Hatch to Nowhere (https://www.notion.so/Hatch-to-Nowhere-1fa0220c388480c8ac7ef72d5d701d1d?pvs=21), Engraved Door (https://www.notion.so/Engraved-Door-1fa0220c38848054b975d2e79d2ee6df?pvs=21)"
"After Co-Op Completion: The narrow room is flanked by high walls cut from black crystal. Gargantuan stone stairs lead to an ornate engraved door. The great door has been pried open just a crack, but that’s all you need.",In Game,74,Engraved Door,"73,75,19","The narrow room is flanked by high walls cut from black crystal. Gargantuan stone stairs lead to an ornate engraved door. No matter how hard you and your kami try, you won’t get it open without more help. ",3,5,2,"Broken Tube (https://www.notion.so/Broken-Tube-1fa0220c388480288f1fdb24b0f3f785?pvs=21), Flood Mural (https://www.notion.so/Flood-Mural-1fa0220c3884804fa583d42eb6c0aaed?pvs=21), Temple of the Wheel (https://www.notion.so/Temple-of-the-Wheel-1b90220c388481528f4bfb1bc5cd3b61?pvs=21)"
,In Game,75,Flood Mural,"68,74",A flat steel wall with a high-tech door cuts through an otherwise natural cave room. The door is splintered into pieces and the frame is broken. There’s a large mural painted across the curved rear wall. ,3,5,3,"Slippery Pit (https://www.notion.so/Slippery-Pit-1fa0220c3884803fac35d2cfdc18c284?pvs=21), Engraved Door (https://www.notion.so/Engraved-Door-1fa0220c38848054b975d2e79d2ee6df?pvs=21)"
,In Game,76,Fungus Garden,"77,18",Two types of colorful fungus are cultivated here along the path. Seems like a garden.,3,5,5,"Thriving Mushrooms (https://www.notion.so/Thriving-Mushrooms-1fa0220c388480cb8e9ffc2a927e5d0e?pvs=21), Cave Crossroads (https://www.notion.so/Cave-Crossroads-1b90220c38848107b037fbaca1c817dc?pvs=21)"
"After Co-Op Completion: This fork in the road is flanked with fast-growing fungi. The overgrown mushrooms blocking the road have been cleared away. The road north passes through a natural cave, and the road east through a reinforced tunnel.",In Game,77,Thriving Mushrooms,"76,78,84","This fork in the road is flanked with fast-growing fungi. The mushrooms are slightly luminescent, and have steel-hard stalks. Exits to the north and east are blocked by the fungi. ",3,4,5,"Fungus Garden (https://www.notion.so/Fungus-Garden-1fa0220c38848051be2ee2f0f14c7914?pvs=21), Toadstool Platforms (https://www.notion.so/Toadstool-Platforms-1fa0220c38848091b319ec71a9d90fd6?pvs=21), Reinforced Tunnel (https://www.notion.so/Reinforced-Tunnel-1fa0220c388480778ed2e80f3b29696b?pvs=21)"
,In Game,78,Toadstool Platforms,"77,79",The stony mushrooms here have grown to a truly gargantuan size. The air is dry. A rope ladder hangs down from a cliff high above. ,3,3,5,"Thriving Mushrooms (https://www.notion.so/Thriving-Mushrooms-1fa0220c388480cb8e9ffc2a927e5d0e?pvs=21), Abandoned Campsite (https://www.notion.so/Abandoned-Campsite-1fa0220c388480478d98cad5a2db909d?pvs=21)"
,In Game,79,Abandoned Campsite,"78,80",An abandoned campsite. There’s a charcoal drawing of a strange fish-like creature on one wall.,3,2,5,"Toadstool Platforms (https://www.notion.so/Toadstool-Platforms-1fa0220c38848091b319ec71a9d90fd6?pvs=21), Radiant Crystal (https://www.notion.so/Radiant-Crystal-1fa0220c38848098bd7ec0649f5acc23?pvs=21)"
,In Game,80,Radiant Crystal,"79,81","A blue crystal that radiates with a soft glow illuminating the cave. Roots grasp tightly around the crystal, supporting it against the ceiling.",3,2,6,"Abandoned Campsite (https://www.notion.so/Abandoned-Campsite-1fa0220c388480478d98cad5a2db909d?pvs=21), Flower Mural (https://www.notion.so/Flower-Mural-1fa0220c388480c69dfbc4417b0e1296?pvs=21)"
,In Game,81,Flower Mural,"80,82","Someone has burned a pile of books to make charcoal soot, then used a brush to draw a flower on the wall. ",3,2,7,"Radiant Crystal (https://www.notion.so/Radiant-Crystal-1fa0220c38848098bd7ec0649f5acc23?pvs=21), Geometric Cliffs (https://www.notion.so/Geometric-Cliffs-1fa0220c3884803db4d9f70bf99e92d1?pvs=21)"
,In Game,82,Geometric Cliffs,"81,83","Sheer cliffs of jagged, geometric rock. The room is dark, but illuminated by a lantern glowing blue.",3,3,7,"Flower Mural (https://www.notion.so/Flower-Mural-1fa0220c388480c69dfbc4417b0e1296?pvs=21), Canyon Bridge (https://www.notion.so/Canyon-Bridge-1fa0220c388480c8932dd5a2a524eccb?pvs=21)"
,In Game,83,Canyon Bridge,"82,84,85",A rickety bridge over a dark canyon. The cave exits from the west to an overlook. People in the past must have climbed down this ladder to reach the bridge to the tunnel north. Another ladder was used to climb even deeper down into the dark. ,3,4,7,"Geometric Cliffs (https://www.notion.so/Geometric-Cliffs-1fa0220c3884803db4d9f70bf99e92d1?pvs=21), Reinforced Tunnel (https://www.notion.so/Reinforced-Tunnel-1fa0220c388480778ed2e80f3b29696b?pvs=21), Giant’s Palm (https://www.notion.so/Giant-s-Palm-1fa0220c3884801e91ead22f7e0a3425?pvs=21)"
,In Game,84,Reinforced Tunnel,"77,83",A mined and reinforced tunnel. There’s a note posted on the wall and a single book tucked behind a pole. Fast-growing luminous mushrooms peek through from the room to the west. ,3,4,6,"Thriving Mushrooms (https://www.notion.so/Thriving-Mushrooms-1fa0220c388480cb8e9ffc2a927e5d0e?pvs=21), Canyon Bridge (https://www.notion.so/Canyon-Bridge-1fa0220c388480c8932dd5a2a524eccb?pvs=21)"
After Co-Op Completion: The dark bottom of the canyon. The giant skeletal hand seems to welcome your entry. ,In Game,85,Giant’s Palm,"83,86",The dark bottom of the canyon. A cave mouth is blocked by what appears to be a giant skeletal hand. The hand is fixed in place by some force and cannot be easily moved.,3,5,7,"Canyon Bridge (https://www.notion.so/Canyon-Bridge-1fa0220c388480c8932dd5a2a524eccb?pvs=21), Guardian Skull (https://www.notion.so/Guardian-Skull-1fa0220c388480d2b8e1d2f939bcb36f?pvs=21)"
,In Game,86,Guardian Skull,"85,87",A giant’s skull is embedded into one wall and has roots growing through it. The rest of the giant’s spine and ribcage is used to line a large pit in the ground. ,3,5,8,"Giant’s Palm (https://www.notion.so/Giant-s-Palm-1fa0220c3884801e91ead22f7e0a3425?pvs=21), Sacrarium (https://www.notion.so/Sacrarium-1fa0220c3884805586b5d696bf1e35ad?pvs=21)"
,In Game,87,Sacrarium,86,A flooded and ruined temple built around the spine and pelvis of a giant skeleton. Black liquid floods the pit. The temple columns have crumbled.,3,6,8,Guardian Skull (https://www.notion.so/Guardian-Skull-1fa0220c388480d2b8e1d2f939bcb36f?pvs=21)
,To Deploy,88,Treasure Hoard,"89,72",You find yourself in a medieval castle built from glassy purple bricks. In front of you is a large hoard of glittering treasure. You’re rich! But who uses gold in this economy?,4,1,3,"Trophies of the Hunt (https://www.notion.so/Trophies-of-the-Hunt-2580220c38848098ade9d9b808a20983?pvs=21), Hatch to Nowhere (https://www.notion.so/Hatch-to-Nowhere-1fa0220c388480c8ac7ef72d5d701d1d?pvs=21)"
,To Deploy,89,Trophies of the Hunt,"88,90","Stuffed trophies of strange creatures rest on pedestals and sit mounted on walls all across this side of the room. ",4,1,2,"Treasure Hoard (https://www.notion.so/Treasure-Hoard-2580220c38848037a292cf6e463af10b?pvs=21), Scenic View (https://www.notion.so/Scenic-View-2580220c38848046bb4af496a550da51?pvs=21)"
,To Deploy,90,Scenic View,89,"You can see this castle is on an island of some kind. The tower you’re standing in is impossibly high in the air. Dragons fly through the clouds below. ",4,1,1,Trophies of the Hunt (https://www.notion.so/Trophies-of-the-Hunt-2580220c38848098ade9d9b808a20983?pvs=21)
