.,Status,Name,Index,Type,Rarity,For,Flags,Effects,Requirements,Description
,In Game,Sanguine Shroom,1013,Material,Uncommon,,,,,A mushroom that bruises and bleeds like flesh. Some believe that they feed on decaying spirits.
,In Game,Chalkberry,1014,Material,Uncommon,,,,,A dry and bitter berry coated with chalky white fungus. The berry itself is inedible; useless except as a medium for a unique wild yeast.
,In Game,Obol,1015,Misc,Uncommon,,,,,"An ancient coin. Despite a worn and dull finish, it still glitters in the light. Valuable to certain individuals. "
,In Game,Dried Stems,1016,Material,Common,,,,,"Long-stemmed mushrooms dried in a small bundle. Although this mushroom has no known medicinal, culinary, or recreational use, it may be a functional building material. "
,In Game,Patinated Pipe,1017,Material,Common,,,,,"These verdigris-coated pipes jut from the cave walls with no connection to any apparent plumbing system. Their presence defies conventional explanation. "
,In Game,Cigarette Butt,1018,Material,Common,,,,,"Even something as small and disposable as a cigarette can be tied to a memory and be given a spiritual essence. You can break this down into Microplastics. "
,In Game,Otherworld Coin,1019,Material,Uncommon,,,,,"The woman on the face of this coin has long pointed ears like a caracal. The language inscribed is incomprehensible. Unless you find a collector, this coin is only valuable as scrap."
,In Game,Bone Chunk,1020,Material,Common,,,,,"Petrified bone in the form of a large stony chunk. If this fragment came from the skeleton of an animal, it must have been the size of a whale. "
,In Game,Empty Cup,1102,Material,Uncommon,,,,,A small reusable cup crafted from stone. Useful for drinking potions or other beverages.
,In Game,Microplastics,1103,Material,Uncommon,,,,,"Fine translucent powder. A promising new substance in hexerei. "
,In Game,Pine Pollen,1104,Material,Uncommon,,,,,"Some people think this is very good for you. "
,In Game,Powdered Red Amber,1107,Material,Epic,,,,,Fine powder made from crushing a red amber crystal. Can be used to sand and polish metals.
,In Game,Black Poppy Extract,1110,Material,Rare,,,,,Useful alkaloids in a sticky black goo. One of the most ancient ingredients.
,In Game,Essence of Daffodil,1111,Material,Uncommon,,,,,"Poisonous to living things, but useful when making medicines and potions."
,In Game,Shredded Mint,1112,Material,Epic,,,,,Makes a cooling and relaxing tea. Also used in various magical applications.
,In Game,Sanguineous Powder,1113,Material,Uncommon,,,,,"A dark, reddish powder that resembles dried blood, or maybe just coffee. Edible, but can also be used as an ink or dye."
,In Game,Berry Chalk,1114,Material,Uncommon,,,,,A chalky fungus scraped from a rare berry. Can ferment certain materials to produce a rejuvenating beverage.
,In Game,Holy Syrup,1201,Material,Rare,,,,,Holy Dust diluted into a quantity of water. Forms a thin syrup that can be measured out for crafting.
,In Game,Resin Tincture,1202,Material,Uncommon,,,,,"A sweet, spicy syrup made from the natural resin found in the trees of Kamigotchi World. Useful for a number of recipes."
,In Game,Fuliginous Ooze,1203,Material,Epic,,,,,Like crude oil with the texture of clay. It seems to absorb the light around it. Could be an ingredient in powerful magic.
,In Game,Ashlar,1301,Material,Uncommon,,,,,"A heavy block of unpolished and imperfect stone. Symbolic of unrefined potential. Masters can craft this into something useful.  "
,In Game,Timber,1302,Material,Uncommon,,,,,Laminated timber made from thin strips of material that have been pressed and glued together. It can be cut into useful planks after a large mass has been shaped and dried.
,In Game,Ingot,1303,Material,Uncommon,,,,,"A rough ingot of greenish metal. Soft enough to shape with force and heat and strong enough to hold an edge. Only .888 percent pure, so be careful when you work."
,In Game,Essence of Hearing,6001,Material,Rare,,,,,One of the six essences. A coil of roaring blue flame.
,In Game,Essence of Smell,6002,Material,Rare,,,,,"One of the six essences. A skyfish in a perfumed cloud. "
,In Game,Essence of Sight,6003,Material,Rare,,,,,"One of the six essences. A weeping orb of sludge. "
,In Game,Essence of Taste,6004,Material,Rare,,,,,One of the six essences. A stone flower bud.
,In Game,Essence of Touch,6005,Material,Rare,,,,,One of the six essences. A hole in space with grasping tentacles.
,In Game,Essence of Thought,6006,Material,Rare,,,,,"One of the six essences. A leafless tree with a reflective surface. "
,In Game,Pure Essence,6007,Material,Epic,,,,,"The combined six essences. A ball of pure sensation. "
,In Game,Red Gakki Ribbon,11001,Revive,Rare,Kami,,"STATE-RESTING,HP+10",,"Capable of raising a Kamigotchi from the dead. 

These ribbons are greatly prized…. "
,In Game,“Melkarth’s Heroic Awakening” Spell Card,11002,Revive,Rare,Kami,NOT_TRADABLE,"STATE-RESTING,HP+50",,The card depicts the figure of an ancient god silhouetted by a wreath of energy that obscures the details of his face and attire. Melkarth grants a blessing of rebirth to fallen warriors. Activating this Spell Card will revive a Kamigotchi that has been incapacitated.
,In Game,Djed Pillar,11003,Consumable,Epic,Kami,,"STATE-RESTING,HP+5",,"An artifact that carries the magic of resurrection. Scholars say it resembles a sheaf of reeds, or a spine, or a tree. Use this on a liquidated Kami to bring it back from death."
,In Game,Holy Dust,11011,Misc,Rare,Kami,,,,This sacred dust can be used to rename Kamigotchi… At the proper place.
,In Game,XP Candy (Small),11201,Food,Uncommon,Kami,NOT_TRADABLE,"HP+5,XP+25",,"Feed this to a Kamigotchi to give them a little bit of experience. "
,In Game,XP Candy (Medium),11202,Food,Uncommon,Kami,NOT_TRADABLE,"HP+10,XP+100",,"Provides a decent amount of XP when fed to a Kami. "
,In Game,XP Candy (Large),11203,Food,Uncommon,Kami,NOT_TRADABLE,"HP+20,XP+200",,"This gives a lot of XP when fed to a Kamigotchi. "
,In Game,XP Candy (Huge),11204,Food,Rare,Kami,NOT_TRADABLE,"HP+50,XP+1000",,This is far larger than any XP Candy you’ve seen before. Gives a huge amount of XP when fed to a Kamigotchi.
,In Game,“Cultivation I” Spell Card,11211,Food,Uncommon,Kami,NOT_TRADABLE,"XP+100,HP+20",,"The card depicts a pale sprout emerging from rich, black soil. Activating this Spell Card on a Kamigotchi will restore 20 HP and grant 100 XP."
,In Game,“Cultivation II” Spell Card,11212,Food,Uncommon,Kami,NOT_TRADABLE,"XP+200,HP+50",,The card depicts a teardrop-shaped flowerbud growing out of light brown soil. Activating this Spell Card on a Kamigotchi will restore 50 HP and grant 200 XP.
,In Game,“Cultivation III” Spell Card,11213,Food,Rare,Kami,NOT_TRADABLE,"XP+1000,HP+100",,The card depicts a flower heartily blooming in pale and sandy earth. Activating this Spell Card on a Kamigotchi will restore 100 HP and grant 1000 XP.
,Ready,“Cultivation IV” Spell Card,11214,Food,Rare,Kami,NOT_TRADABLE,"XP+5000,HP+100",,The card depicts a massive flower spreading across the frame. A baby sleeps in the center. Activating this Spell Card on a Kamigotchi will restore 100 HP and grant 5000 XP.
,In Game,Full Heart Crystal,11221,Food,Rare,Kami,,XP+15000,,"It pulses with warmth. Give this to your Kami to grant it a large amount of XP. "
,In Game,Half Heart Crystal,11222,Food,Uncommon,Kami,,XP+1000,,It feels slightly warm in your hand. Give this to your Kami to grant it a moderate amount of XP.
,In Game,Great Heart Crystal,11223,Food,Epic,Kami,,XP+50000,,"The crystal beats like a real heart. It radiates with heat enough to warm your surroundings. Give this to your kami to grant it a very large amount of XP. "
,In Game,Inverted Teardrop Jewel,11224,Food,Rare,Kami,BYPASS_BONUS_RESET,ATR+10%,,"A rare gem with an incandescent color. Some say the stone has a wild spirit and will leap out of your pack if unattended. "
,In Game,Teardrop Jewel,11225,Food,Rare,Kami,BYPASS_BONUS_RESET,HFB+50%,,"A rare gem with a tranquil color. Some say that if you drop it into water, it won’t disturb the surface. This jewel boosts a kami’s Fertility, enhancing its type advantages when harvesting. "
,In Game,Ash Pearl,11226,Food,Rare,Kami,BYPASS_BONUS_RESET,"TEMP1HARMONY,TEMP1VIOLENCE",,"The Wonder Egg was filled with soot and ash, but also a large blue pearl. Give this pearl to your Kami to grant it a temporary +1 to Harmony and Violence. If your Kami is liquidated, the pearl breaks and the power is lost. "
,In Game,Fetid Egg,11227,Food,Uncommon,Kami,,HP+35,,"This egg seems fresh, and refuses to spoil even out of the shell. Still, it reeks of sulfur. Your Kami can eat this to restore HP. "
,In Game,Maple-Flavor Ghost Gum,11301,Food,Uncommon,Kami,,HP+25,,"The most basic form of food available in this world - restores 25 Health to a Kamigotchi. "
,In Game,Cheeseburger,11302,Food,Uncommon,Kami,,HP+50,,"These burgers, still in their original wrapping, are occasionally found in the scrapyard. Apparently Kamigotchi love them. "
,In Game,Pom-Pom Fruit Candy,11303,Food,Uncommon,Kami,,HP+50,,These fruit candies contain a huge amount of energy. Restores 50 Health to a Kamigotchi.
,In Game,Gakki Cookie Sticks,11304,Food,Rare,Kami,,HP+100,,Heavy duty rations by a Kami’s standards.. Restores 100 Health to a Kamigotchi.
,In Game,“Paeon's Field of Flowers” Spell Card,11305,Food,Rare,Kami,NOT_TRADABLE,HP+100,,The card depicts a mortally wounded man lying in a field of flowers. Some flowers take root on his body and knit the wounds closed while others bloom from the spilled blood. Activating this Spell Card on a Kamigotchi will restore 100 Health.
,In Game,Resin,11311,Food,Uncommon,Kami,,HP+35,,"Sticky sap with a flavor like spiced honey. An energizing snack by itself, but also useful in a number of recipes."
,In Game,Honeydew Scale,11312,Food,Rare,Kami,,HP+75,,A sweet confection that appears on mushrooms and bones. Close inspection reveals this candy is actually the honeydew of a scale insect.
,In Game,Golden Apple,11313,Food,Rare,Kami,,HP+150,,"Sweet golden apples on a dry silver branch. Said to be a divine gift, they are extremely rare. They’re more often found in places without trees."
,In Game,Blue Pansy,11314,Food,Uncommon,Kami,,HP+25,,"A deep blue flower with a shape reminiscent of the blue butterflies common across the Kamigotchi World. It has a crisp, sweet, and refreshing flavor."
,In Game,XP Potion,11401,Food,Uncommon,Kami,BYPASS_BONUS_RESET,"XP+1000,ITEM1003",,Give to a Kami to increase their XP by 1000.
,In Game,Greater XP Potion,11402,Food,Epic,Kami,BYPASS_BONUS_RESET,"XP+15000,ITEM1006",,Give to a Kami to increase their XP by 15000.
,In Game,Respec Potion,11403,Misc,Epic,Kami,BYPASS_BONUS_RESET,ITEM1003,,"Give to a Kami to reset their skill points. "
,In Game,Grace Potion,11404,Food,Rare,Kami,BYPASS_BONUS_RESET,"STRAIN-25%,ITEM1003",,"Give to a Kami to decrease loss of health during the next Harvest by 25%. "
,In Game,Bless Potion,11405,Food,Uncommon,Kami,BYPASS_BONUS_RESET,"BOUNTY+25%,ITEM1003",,Give to a Kami to increase the MUSU gained from the next Harvest by 25%.
,In Game,Apology Letter,11406,Food,Uncommon,Kami,BYPASS_BONUS_RESET,ARB-25%,,A letter written by a Kami with sincere remorse for its actions. Lowers Recoil when liquidating other Kami.
,In Game,MUSU Magnet,11407,Food,Rare,Kami,BYPASS_BONUS_RESET,DSR+25%,,This shiny purple rock attracts grains of $MUSU. It dramatically increases the proportion of $MUSU a kami retains when it’s liquidated.
,In Game,Festival Chime,11408,Food,Rare,Kami,BYPASS_BONUS_RESET,HIB+25,,"Magical bells that gradually increase Harvest Intensity over the next long-term harvest. Your Kami will ring this chime until it breaks. "
,In Game,Energy Drink,11409,Food,Uncommon,Kami,BYPASS_BONUS_RESET,COOLDOWN-30s,,A lightly fermented beverage that grants a burst of spiritual energy. Dramatically reduces Cooldown Shift for a kami’s next action.
,In Game,Hostility Potion,11410,Food,Uncommon,Kami,BYPASS_BONUS_RESET,"ATS+3%,ITEM1102",,"Most Kamigotchi find this bitter potion unpleasant, but some thrive on it. Expands a Kami’s Attack Threshold Shift by a small percentage."
,In Game,Fortified XP Potion,11411,Potion,Epic,Kami,,"XP+50000,ITEM1006",,A deep-green potion with a grainy texture and dense mouthfeel. Fortified with rare red amber and the essences of old memories.
,To Update,Flash Talisman,11412,Potion,Rare,Enemy_Kami,,"ATR+10%_KK,DTR-10%_KK",,"A magical talisman that burns easily. Using this on a Kami intensifies their overall sensitivity to Types, buffing their advantages on liquidations but nerfing their advantages on defense. "
,To Deploy,Uninteresting Paste,11414,Potion,Rare,Account,,SP+150,,A matte-black paste in a plastic jar. A secret incense recipe created by Mina that allows individuals without bodies to smoke tobacco.
,In Game,Toadstool Liquor,11501,Potion,Rare,Kami,BYPASS_BONUS_RESET,"TEMP10HEALTH,TEMP1POWER",,Liquor distilled from a mash made from mushrooms and black poppy. An underworld favorite.
,To Update,Sarcophagus Honey,11502,Potion,Uncommon,Kami,,TEMP30HEALTH,,Legendary medicine believed to be the stuff of rumors. A piece of flesh has been preserved inside using ancient techniques. Give this to a Kami to grant them a temporary bonus to maximum Health.
,In Game,Spirit Glue,19001,Potion,Uncommon,Enemy_Kami,,"NEXT_COOLDOWN+180,ITEM1003",,This glue even sticks to intangible things. Can be used to add additional Cooldown to an enemy Kami and temporarily lock it down to a Node.
,In Game,Animistic Poison,19101,Potion,Rare,Enemy_Kami,,STRAIN+50%,,"Dangerous to both living and nonliving beings. When used on Kamigotchi, it causes them to lose HP at a faster rate while Harvesting. "
,In Game,Cthonic Blight,19201,Potion,Rare,Enemy_Kami,BYPASS_BONUS_RESET,DTS-5%,,"Highly corrosive. Can be used to clear barriers of plant or fungal matter. It can also be used on a Kamigotchi to lower its defenses. The Blight is particularly dangerous to Normal-type Kami. "
,To Update,Curse Tablet,19301,Potion,Rare,Enemy_Kami,,ATS-30%_KK,,"Also called a Defixio or Katadesmos. This ancient tablet is inscribed with a curse of weakness. Although it was meant for a long-dead human, Kami can use it on their own kind."
,In Game,Giftbox,21001,Lootbox,Uncommon,Account,,DT1,,"The lowest tier of giftbox. You can get XP candies, cheeseburgers, and even a few rare item drops from this! "
,In Game,Kamigotchi World Citizen Giftbox,21002,Lootbox,Rare,Account,,DT2,,"A gold-trimmed and colorfully painted treasure chest. The gift inside must be particularly valuable. "
,In Game,Wonder Egg,21003,Lootbox,Rare,Account,,DT3,,"A cracked egg held together by blood-red wax. The contents are a surprise. "
,In Game,Booster Pack,21004,Lootbox,Rare,Account,,DT4,,Open this magical booster pack to receive a Spell Card. You might find something super rare!
,To Deploy,Mochibox,21005,Lootbox,Epic,Account,,,,A sacred box containing exactly one Mochi.
,In Game,Ice Cream,21201,Food,Uncommon,Account,,SP+20,,"Restorative ice-cream. Food for you, personally. Restores a little bit of your stamina."
,In Game,Better Ice Cream,21202,Food,Rare,Account,,SP+40,,"A slightly larger and higher-quality ice-cream. What is this made of? Restores a medium amount of stamina. "
,In Game,Best Ice Cream,21203,Food,Rare,Account,,SP+80,,"A huge, lavishly decorated ice-cream. It doesn’t seem to be melting at all… Restores a lot of stamina. "
,In Game,“Neith’s River of Life” Spell Card,21204,Food,Rare,Account,NOT_TRADABLE,SP+80,,"The card depicts a flooding river beneath the night sky. The magical waters grant a bounty of stamina, and the reeds grow nearly as tall as the pyramids. Activating this Spell Card on an Operator will restore 80 Stamina."
,In Game,Rock Candyfloss,21205,Food,Uncommon,Account,,SP+80,,"This rare crystal formation is soft to the touch, sweet, and edible. You can consume it to restore a large amount of Stamina. "
,In Game,Spice Grinder,23100,Tool,Rare,,,,,Can be used to break down ingredients.
,In Game,Portable Burner,23101,Tool,Rare,,,,,"Can be used to make Potions at a riverside. "
,In Game,Screwdriver,23102,Tool,Epic,,,,,For driving screws. May be of practical use….
,In Game,Astrolabe Disk,100001,Key Item,Epic,,,,,"A golden disk. It resembles the tympan of an astrolabe, but the engraving doesn’t look right."
,In Game,Ancient Machine Part,100002,Key Item,Epic,,,,,A durable part of some kind of high-tech machinery. It has wear and corrosion like it’s been exposed to the elements for thousands of years.
,In Game,Disc-Shaped Map,100003,Key Item,Epic,,,,,"A golden disk inlaid with other metals. It resembles an overhead map of a temple complex. Seems to depict roads, pyramids, and other structures."
,In Game,Aetheric Sextant,100004,Key Item,Legendary,,,,,"Capable of divining some things beyond the perception of mortals. "
,In Game,Pyramid Engine,100005,Key Item,Epic,,NOT_TRADABLE,,,This device dates to thousands of years old and is constructed in Egyptian style. It can be used to generate electrical power. The process through which this occurs is unknown.
,In Game,“KW Maps” Data Chip,100006,Key Item,Rare,Account,,,,"“Kamigotchi World Maps.” A data chip found in the Lost Skeleton’s laptop. It looks damaged, but it might still be readable."
,In Game,Unmarked Data Chip,100007,Key Item,Rare,Account,,,,A data chip found in the Techno Temple. Looks to be in good working condition.
,In Game,Rock Crystal Lens,100008,Key Item,Epic,,,,,"Although this lens has a slight crack, it can still be used to focus and magnify light. Scans indicate this item to be hundreds of thousands of years old. "
,In Game,Switchbox Imp,100009,Key Item,Epic,,,,,Looks like a small wired relay box on the surface. A tiny humanoid imp lives under the faceplate and manually operates the contacts. This item can be used in crafting certain complex devices.
