,Index,Name,Enabled,Z,Y,X,Exits,All Exits,Status,Tags,Description,Files & media
,10,Forest: Insect Node,true,1,5,5,,35,To Implement,Node,The buzzing is loudest here. This mound draws insects of all types toward it. They writhe together in a trance.,"Rooms%204281fd84407147de8d1fe5b14b37327c/room10a.png, Rooms%204281fd84407147de8d1fe5b14b37327c/room10b.png, Rooms%204281fd84407147de8d1fe5b14b37327c/room10c.png"
,11,Temple by the Waterfall,true,1,11,6,"15, 24","15[Z3], 24[Z2], 37",To Implement,Kami Naming,"By the edge of the waterfall basin, a humble shrine grants this place a peaceful aura.",Rooms%204281fd84407147de8d1fe5b14b37327c/11_waterfall_temple.png
,12,Scrap Confluence,true,1,6,1,,34,To Implement,Node,A collection of strange and hard to identify objects is buried deep in the scrapyard. It feels dangerous just to be near them.,Rooms%204281fd84407147de8d1fe5b14b37327c/12_dump_machine.png
,13,Convenience Store,true,1,3,4,,2,To Implement,Food Shop,The glowing blue door transports you inside of a little candy store. Check the glowing “exit” sign to leave.,Rooms%204281fd84407147de8d1fe5b14b37327c/13_giftshop_exit.png
,14,Manager’s Office,false,5,,,,39,Needs Editing,Node,A slick penthouse office. It seems that this room has been untouched since a magic ritual was performed inside.,Rooms%204281fd84407147de8d1fe5b14b37327c/14_manager_office.png
,15,Temple Cave,false,3,,,,"11, 18",Needs Editing,,A cave behind the waterfall. Friendly statues line a path to the back of the cave away from ancient-looking temple ruins.,Rooms%204281fd84407147de8d1fe5b14b37327c/15_templecave.png
,16,Techno Temple,false,3,,,,15,Needs Editing,,"Inside the ruined temple. This place might have been traditional once, but now it sparks and rumbles with technology.",Rooms%204281fd84407147de8d1fe5b14b37327c/16_technotemple.png
,17,Misty Park,false,4,,,,46,Unfinished,,You appear to be outside in an urban park. Balls of light dance around a statue of an angel. Fog hangs thick in the air.,"Rooms%204281fd84407147de8d1fe5b14b37327c/17_mistypark.png, Rooms%204281fd84407147de8d1fe5b14b37327c/newpark.webp"
,18,Cave Crossroads,false,3,,,,"15, 16, 19",Needs Editing,,Deep in the cave the path branches. The bioluminescent fungi make it nearly as bright as day. You can hear bells in the air.,"Rooms%204281fd84407147de8d1fe5b14b37327c/18_cave_crossroad.png, Rooms%204281fd84407147de8d1fe5b14b37327c/newshroom.webp"
,19,Violence Temple,false,3,,,,18,Needs Editing,,"Half eroded stone and mossy growth, half gleaming metal and glowing crystal. Whether temple or technology, it unsettles you.",Rooms%204281fd84407147de8d1fe5b14b37327c/19_violencetemple.png
,20,Ancient Riverbed,false,2,1,3,,1,Unfinished,Underwater,Acheron. A riverbed where you find a millenias-old statue and wonder if the faces you see in the water howling in pain are just a hallucination.,Rooms%204281fd84407147de8d1fe5b14b37327c/20_ancient_riverbed.png
,21,Hallways 1,false,5,,,,"7, 38, 39",Unfinished,,"The labyrinthine hallways of the Arawn Software complex. Easy to get lost, but also easy to stumble on strange new places.",Rooms%204281fd84407147de8d1fe5b14b37327c/21_hallway_a.png
,22,Flooded Atrium,false,5,,,,"23, 38, 39",Unfinished,,A once-beautiful central atrium to the corporate complex. It appears to have been intentionally flooded.,Rooms%204281fd84407147de8d1fe5b14b37327c/22_flooded_atrium.png
,23,Submerged Giant,false,5,,,,22,Unfinished,Underwater,"Below the water in the atrium is a massive stone giant. Cables drilled and plugged into the stone surface have been cut off and lay on the floor like snakes. The statue’s surface is mossy, and water weeds cling to it. Somehow, it feels warm to the touch.",Rooms%204281fd84407147de8d1fe5b14b37327c/23_submerged_giant.png
,24,Impure Basin,false,2,11,6,,11,Unfinished,Underwater,A basin underneath the waterfall lake where impurities collect and fester. What else could be hiding here below the surface?,Rooms%204281fd84407147de8d1fe5b14b37327c/24_impure_basin.png
,25,Lost Skeleton,true,1,9,6,,"36, 37, 49",To Implement,,"A skeleton lost in the woods. Everything seems to have deteriorated except for the bones, a sturdy old laptop, and their baggy jeans.","Rooms%204281fd84407147de8d1fe5b14b37327c/25_lost_skelly_laptop.png, Rooms%204281fd84407147de8d1fe5b14b37327c/25_lost_skelly_nolap.png"
,26,Trash-Strewn Graves,true,1,8,2,,"34, 31",To Implement,,"At the farthest edges of the dump, where the garbage is shallowest, you find a field of ancient gravestones. Is the entire dump covering up something like this?",Rooms%204281fd84407147de8d1fe5b14b37327c/26_trash_graveyard.png
,27,Guardhouse,false,4,,,,46,Unfinished,,"A guardhouse with a table, computer and stool against a window. Behind it there's a blue cabinet with a few trinkets on top, and a mirror on the wall. At the far end are three closed lockers built into the wall. Trash has been left on the floor.",Rooms%204281fd84407147de8d1fe5b14b37327c/guardhouse.webp
,28,Lobby,false,5,,,,"6, 21",Unfinished,,"The lobby decor is sparse, with only one uncomfortable chair. The elevator buttons are broken except for “B” and “PH”.",Rooms%204281fd84407147de8d1fe5b14b37327c/lobby.webp
,29,Road Out Of Woods,true,1,2,3,,"1, 2",To Implement,,"A forest road. Trees covering the sky. Brushes and thick undergrowth. Mushrooms. Fairly dark, lighter in the distance.",Rooms%204281fd84407147de8d1fe5b14b37327c/room29.webp
,30,Scrapyard Entrance,true,1,5,3,,"3, 4",To Implement,,"Road is lined with trees, trash leaning on them. One tree, one trashbag. Trashbags in heaps, growing bigger as you near the exit to Vending Machine (4)",Rooms%204281fd84407147de8d1fe5b14b37327c/r30.webp
,31,Scrapyard Exit,true,1,8,3,,"47, 5, 33",To Implement,,"A literal and metaphorical fork in the road. Nature, man’s work and its leftovers. The sky’s colour shift toward the end/start of each.\nThis road starts from Vending Machine (4), where the sky is dark and the road is lined with trash and metal scrap.

Where the road ends at Restricted area (5) there are leaves from the cherry blossoms in the wind, and hills taking shape. Just a single trashbag or metal scrap on the ground next to it. Road becomes paved. The sky is blue.

As another fork nears Old Growth (9) trees and grass appear, almost covering the winding road, which is now in shadow.",Rooms%204281fd84407147de8d1fe5b14b37327c/r31.webp
,32,Road To Labs,true,1,10,3,,"5, 6",To Implement,,A paved and curved road in between green hills with cherry blossoms. Near the exit toward Labs Entrance (6) you can see the office building entrance.,Rooms%204281fd84407147de8d1fe5b14b37327c/r32.webp
,33,Forest Entrance,true,1,8,4,,"31, 9",To Implement,,"The forest stands tall around you like an entrance, blotting out the sky. Like stepping into a huge, ancient house. It’s almost eerily quiet. ",Rooms%204281fd84407147de8d1fe5b14b37327c/r33.webp
,34,Deeper Into Scrap,true,1,6,2,,"12, 4",To Implement,,"Sky is dark as the night. No trees, trash piled high on either side, pouring onto the road so that you'd have to skip over it in some places. At the exit toward Machine Node (12), there’s an opening in the midst of the trash.",Rooms%204281fd84407147de8d1fe5b14b37327c/r34.webp
,35,Forest Road,true,1,6,5,,"48, 10",To Implement,,"There's barely a discernable road here, it seems mostly untouched, whatever's here has roots reaching across it, thick foliage covering your sight. Trees so high you can't see their crowns. Dark, darker than Misty Riverside-Tunnel of Trees). Basically Mirkwood in LotR.",Rooms%204281fd84407147de8d1fe5b14b37327c/r35.webp
,36,"Forest Road 2 ",true,1,9,5,,"9, 25",To Implement,,"Starting from Old Growth (9) the road is lined with trees blocking out the sun, trees successively thinning out until the end at Lost Skeleton (25) where you can see a clearing and light shining through.",Rooms%204281fd84407147de8d1fe5b14b37327c/r36.webp
,37,Forest Road 3,true,1,10,6,,"25, 11",To Implement,,"Sparser vegetation along this road, but still a forest alright, and clearly marked and recognised as a road some have travelled before. Similar darkness as the road between (1) and (2). Some sturdy flowers. ",Rooms%204281fd84407147de8d1fe5b14b37327c/r37.webp
,39,Hallways 3,false,5,,,,"21, 40, 41",Unfinished,,"Blinding light and coloured tiles leading up to a wide, low-set door. There's a barely noticeable mist in the air.",Rooms%204281fd84407147de8d1fe5b14b37327c/21_hallway_c.png
,40,"Hallways 4 ",false,5,,,,"38, 39, 22",Needs Art,,"A broken console on the wall. A roll of silver tape on the floor, unrolled with a long piece sloppily taped to the floor for some reason.",Rooms%204281fd84407147de8d1fe5b14b37327c/r40.webp
,41,Hallways 5,false,5,,,,"39, 22, 7",Needs Art,,A side door with its crannies silver taped and an X taped across the door. A small pool of water in front of it. A fire alarm button behind glass on the opposite wall.,Rooms%204281fd84407147de8d1fe5b14b37327c/r41.webp
,43,Hallways 7,false,5,,,,"23, 44",Needs Art,,An empty hallway. Parts of the wall is streaked and there’s some water on the floor and an unreadable sign attached to a cone in front (but it’s cautioning visitors of the wet floor).,Rooms%204281fd84407147de8d1fe5b14b37327c/r43.webp
,44,Hallways 8,false,5,,,,"43, 45",Needs Art,,"A chair propped up against the wall, as if someone was trying to reach something in the ceiling. The lamp is broken and there are shards on the chair and floor. ",Rooms%204281fd84407147de8d1fe5b14b37327c/r44.webp
,45,"Back Exit ",false,5,,,,"44, 46",Needs Art,,"A chained door. Above it an unreadable exit sign. Down by the floor on the wall is an entrance to a ventilation drum/crawl space. ",Rooms%204281fd84407147de8d1fe5b14b37327c/r45.webp
,46,Parking Lot,false,4,,,,"17, 27",Unfinished,,An abandoned parking lot under an ominous sky. The width of a great and mountainous forest in front of it. The gate was broken a long time ago.,Rooms%204281fd84407147de8d1fe5b14b37327c/parkinglot.webp
,47,Scrap Paths,true,1,7,3,,"4, 31",To Implement,,"Road lined with scrap. There’s a moped carcass lying across the road. ",Rooms%204281fd84407147de8d1fe5b14b37327c/47.webp
,48,"Forest Road 4 ",true,1,7,5,,"9, 35",To Implement,,The forest is dark and impenetrable here. Thick tree trunks stretch high above you.,Rooms%204281fd84407147de8d1fe5b14b37327c/r48.webp
,49,Clearing,true,1,9,7,,25,To Implement,,"The trees are more distant here. Blue sky. Lots of grass and some bushes by the road. A stone or two. ",Rooms%204281fd84407147de8d1fe5b14b37327c/r49.webp
,50,Timeless Lounge,,4,,,,one or two rooms off 17,Needs Art,,"A smoky bar lounge that feels like it's stuck in the 60s. A painting hanging on the wall should resemble Salvador Dali's La Barque du Nocher (1963). Charon the boatman hangs out here with nothing to do, drinking alone. Reference art attached. ","Rooms%204281fd84407147de8d1fe5b14b37327c/4b207f5a-00e1-4341-9fb4-b32f35fc20ff.jpeg, Rooms%204281fd84407147de8d1fe5b14b37327c/Feed-bag-dining-room-and-gun-room-cocktail-lounge-arizona.jpg, Rooms%204281fd84407147de8d1fe5b14b37327c/s-l1600.jpg, Rooms%204281fd84407147de8d1fe5b14b37327c/gallery_1.jpeg"
